volumen,volumen_log,precio_promedio_kg,indice_precio_diesel,lluvia_hoy,dias_con_helada_en_cultivo,T2M_MIN,T2M_MAX,zona_acobamba,zona_ambo,zona_andahuaylas,zona_angaraes,zona_antabamba,zona_arequipa,zona_barranca,zona_cajatambo,zona_canete,zona_cangallo,zona_canta,zona_caraveli,zona_caylloma,zona_chanchamayo,zona_chincha,zona_churcampa,zona_concepcion,zona_daniel alcides carrion,zona_huamalies,zona_huamanga,zona_huanca sancos,zona_huancavelica,zona_huancayo,zona_huanta,zona_huanuco,zona_huaral,zona_huarochiri,zona_huaura,zona_huaycabamba,zona_huaytara,zona_ica,zona_jauja,zona_julcan,zona_junin,zona_la mar,zona_lima,zona_lucanas,zona_nazca,zona_oxapampa,zona_oyon,zona_pachitea,zona_palpa,zona_parinacochas,zona_pasco,zona_pisco,zona_sanchez carrion,zona_santiago de chuco,zona_tarma,zona_tayacaja,zona_yauli,zona_yauyos,fecha_sin,fecha_cos
3.0,1.3862943611198906,0.93,88.4916,4.87,0.0,16.49,20.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5380051715382996,0.8429415373547828
39.0,3.688879454113936,0.93,88.4916,5.7,0.0,13.49,17.67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5380051715382996,0.8429415373547828
36.0,3.610917912644224,0.93,88.4916,5.08,0.0,5.89,14.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5380051715382996,0.8429415373547828
48.0,3.8918202981106265,0.93,88.4916,1.53,0.0,5.88,14.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5380051715382996,0.8429415373547828
218.0,5.389071729816501,0.93,88.4916,1.5,0.0,6.87,15.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5380051715382996,0.8429415373547828
12.0,2.5649493574615367,0.93,88.4916,7.18,0.0,4.82,14.36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5380051715382996,0.8429415373547828
240.0,5.484796933490655,0.93,88.4916,0.0,0.0,6.51,17.18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5380051715382996,0.8429415373547828
19.0,2.995732273553991,0.85,88.4916,7.16,0.0,4.24,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5234156073655503,0.8520775211013093
14.0,2.70805020110221,0.85,88.4916,4.99,0.0,16.54,20.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5234156073655503,0.8520775211013093
37.0,3.6375861597263857,0.85,88.4916,7.1,0.0,6.27,14.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5234156073655503,0.8520775211013093
